23	1	-0.777676	10.136938	20.055163	15.687049	5.886233	-12.166504	-1.198177	-10.099853	6.552350	-21.625429	6.050421	14.710904	7.512712	-2.518705	4.047407	-0.415555	8.580230	6.915891	8.503640	7.720335	5.439523	11.390683
29	1	8.617043	-9.340482	-31.456998	-42.263970	6.752300	6.624759	7.294368	5.173360	6.959254	13.042093	8.342696	-25.066449	-20.946026	4.803876	3.251417	8.797943	-5.273205	0.273488	-1.565976	-7.438231	-9.655193	-19.193051
30	1	3.665178	-1.878384	-15.167482	-15.984278	6.384185	4.068996	3.838265	4.445252	4.630017	11.890128	9.015593	-20.266244	-23.351998	6.053861	2.605434	5.720799	2.707191	1.092179	3.927162	-8.200673	-6.499899	-13.610512
43	1	6.117360	-13.165521	-25.212634	-23.081818	4.648244	6.373885	7.150227	7.963211	4.253836	12.791417	9.073203	-19.358133	-19.422435	5.601015	1.763271	6.788519	1.278326	-2.622194	-0.962780	-13.187352	-6.812746	-20.116416
48	1	5.069089	-12.439387	-29.461225	-26.395272	6.411487	3.733548	5.532549	8.759904	8.025986	8.031536	7.391731	-19.168585	-25.840084	6.402757	3.411787	5.826876	2.124864	0.614032	3.631030	-6.561635	-3.178374	-17.070177
52	1	6.772490	-7.907135	-34.387086	-26.629765	3.207889	1.653922	6.772924	5.606081	7.462970	13.619443	5.945201	-14.417858	-18.932520	5.764123	0.574288	7.315136	-5.353082	-0.818831	2.572744	-8.349084	-9.012535	-17.505337
55	1	4.827163	-4.219980	-27.611550	-31.640672	8.933444	4.631834	4.746093	6.287344	7.124775	14.972171	6.193098	-22.898504	-22.685576	6.873123	-2.338158	7.224436	-0.685869	-0.224543	1.500096	-12.703782	-11.124810	-11.136214
60	1	-3.111817	10.517090	26.842974	16.986512	5.593474	-7.252205	-4.131688	-7.249369	3.809848	-20.098808	7.387271	13.836704	5.893282	-7.569774	6.815791	-2.656449	8.752967	6.802777	6.591458	7.775777	7.159846	9.198037
67	1	7.186895	-10.780113	-35.372916	-33.626498	4.290111	5.918907	6.872437	3.397787	7.146057	13.003119	8.267934	-19.763516	-21.846906	7.302627	0.136058	6.598463	-4.599802	-1.986847	0.941045	-6.436387	-6.440165	-17.653052
76	1	6.907354	-8.305688	-32.887057	-26.567337	6.095043	8.917214	5.471052	5.925353	8.427819	9.608694	6.534967	-15.414905	-18.108101	5.871024	4.273263	7.178807	-1.444849	0.058172	-0.873956	-5.144163	-4.441305	-15.993644
89	1	5.170057	-5.119711	-38.563986	-36.511533	7.069215	3.896635	7.707703	6.298585	6.089144	17.100733	6.847472	-13.991248	-20.514290	3.153137	1.350286	9.264988	-5.407680	-2.155722	0.971710	-7.117232	-2.314864	-21.179309
96	1	4.856769	-16.188757	-30.008537	-31.428213	7.612195	4.499909	8.580697	7.828652	6.063252	12.246479	8.305443	-18.442542	-19.490460	6.909831	2.544570	9.649661	-4.438840	2.877050	2.443799	-9.110319	-8.292310	-13.559141
