1	1	6.313555	-3.749647	7.265570
2	1	-2.881236	5.778999	-0.512625
3	1	5.656097	0.847155	9.456394
4	1	8.975308	0.570977	5.152918
5	1	0.844793	6.506514	1.952371
6	1	6.532287	-3.634072	9.310218
8	1	-1.125679	7.387562	3.573394
9	1	-4.052099	6.552186	1.444289
10	1	2.174711	6.711810	-1.920364
11	1	9.163277	-3.717745	7.574830
12	1	4.560057	-1.326256	5.123369
14	1	7.487145	-6.391171	8.576886
15	1	9.381777	-6.811657	7.243378
17	1	5.291249	-0.104350	6.567255
19	1	5.055111	-3.800448	8.677394
20	1	0.270559	6.774950	-2.887117
22	1	8.462809	-4.749856	6.739171
23	1	4.924075	1.916421	7.119011
25	1	6.556769	-8.681802	7.427350
26	1	0.579582	6.102192	-1.853289
27	1	-0.546468	6.012408	0.457767
29	1	-1.434926	6.382897	-0.117605
32	1	1.370002	6.540949	2.606368
37	1	6.968317	-2.300457	8.886007
39	1	-0.750746	7.595941	1.968778
40	1	0.851891	9.178286	-0.431514
41	1	3.155856	7.859102	0.342917
42	1	0.910798	5.438696	-1.332084
43	1	2.511754	8.281578	0.941737
44	1	1.043742	4.941131	0.052425
45	1	1.323695	7.015788	1.301488
48	1	5.298770	7.495559	-2.066597
49	1	1.019145	8.111251	3.242674
53	1	-0.686915	7.789460	-0.984529
55	1	3.012531	7.129818	-1.212313
56	1	-2.085877	6.652364	-2.918428
57	1	9.378238	-0.225558	4.002014
61	1	-0.272846	7.752394	0.535844
63	1	8.913671	-4.933089	8.061989
67	1	-2.314820	6.506773	-1.075707
68	1	0.997988	5.770471	2.446697
69	1	7.004762	-2.825924	8.532735
71	1	1.823846	8.584758	1.573651
72	1	7.878660	1.781303	3.980153
73	1	2.044340	5.549210	3.913703
75	1	2.136683	6.525676	2.500474
76	1	3.923213	6.642292	0.871232
77	1	-0.472092	7.142630	-2.448751
81	1	-1.218434	6.253017	3.929094
83	1	-0.714303	8.006105	1.336408
89	1	6.770577	-3.399974	6.994672
90	1	6.908546	-1.890063	5.731496
91	1	-3.164441	6.269996	2.762562
92	1	6.750985	-0.431226	5.700884
93	1	8.060088	-4.563573	8.613378
94	1	-0.971196	6.783698	-1.210422
95	1	6.598579	-3.326705	6.620048
97	1	-1.563322	5.848926	1.533520
98	1	5.668247	-0.484141	6.677315
