1	2	7.128506	-11.946062	-32.000143	-23.093528	7.559401	4.421302	6.437844	7.929382	6.897439	12.179741	6.271923	-13.201476	-16.291932	2.199393	6.009786	7.159783	-2.322505	3.351410	0.231071	-7.835723	-12.344010	-17.275686	2.356445	10.443606	22.830547	10.464481	7.559401	-4.406881	-2.625360	-4.757000	6.897439	-17.057167	6.271923	7.181827	4.966864	-10.898379	6.015278	0.834393	5.270955	6.300387	3.149936	4.488115	1.844603	11.864409
3	2	0.291665	9.165874	23.609203	21.641937	7.618507	-8.377287	-2.732326	-6.154390	5.883518	-22.787713	4.963009	13.915346	7.776539	-3.808995	6.702552	1.309176	7.464683	8.765708	6.605095	4.930401	7.587289	10.606067	6.351939	-8.976077	-40.014035	-18.343856	7.618507	5.645839	7.466580	6.083292	5.883518	16.644832	4.963009	-21.015584	-14.152737	6.389024	1.482995	6.881968	-1.398414	4.869034	1.111096	-10.030519	-5.275283	-16.122645
4	2	6.612707	-9.678877	-37.973471	-25.500931	3.700156	8.035946	7.545891	5.678746	7.455201	10.943138	7.958814	-18.508710	-18.221403	6.965223	5.034317	9.352921	-7.695024	2.129529	3.523231	-9.017980	-4.503307	-12.940565	0.943576	10.015257	26.407484	18.215222	3.700156	-6.523991	-3.096995	-9.732975	7.455201	-25.817627	7.958814	10.716508	7.803109	-5.420139	9.009592	2.927108	4.878748	7.261391	5.662297	6.985082	7.569179	8.765380
5	2	3.700737	9.818757	20.826769	15.797285	6.486952	-11.502697	-3.683837	-15.645750	6.618855	-18.320959	4.165472	12.914454	7.970486	-4.966174	7.029072	-0.060365	7.016404	7.702427	5.940017	5.868068	5.939919	10.158253	9.299552	-8.254468	-33.879458	-30.983823	6.486952	4.628875	6.167408	3.126631	6.618855	13.859460	4.165472	-11.383131	-16.023690	6.345453	4.156128	6.372026	-5.432641	1.240404	0.125589	-2.536953	-11.548432	-19.289964
7	2	7.066249	-9.205127	-15.658516	-23.827496	5.224413	6.369032	5.691284	6.428599	3.704798	12.512913	7.184038	-11.303629	-17.827311	5.636640	3.124238	4.846577	4.505154	2.920447	1.153369	-10.797198	-4.037724	-22.228325	0.506530	7.344471	23.249425	18.656678	5.224413	-5.546592	-5.906866	-7.703851	3.704798	-24.704673	7.184038	10.913813	6.071992	-5.221131	8.641484	-0.520345	8.681096	6.541577	7.463402	6.736195	5.130036	6.947711
9	2	2.983977	-0.958021	-28.643735	-18.630874	3.475016	6.950953	2.664424	6.852361	3.546200	9.673473	8.727862	-18.857021	-17.876087	8.299415	2.627809	6.655595	-1.215460	3.899264	-0.421016	-8.153320	-15.003214	-17.985968	-2.868276	10.737734	24.650270	18.920737	3.475016	-6.152252	-6.218606	-11.134276	3.546200	-17.659248	8.727862	3.281041	4.913372	0.170096	6.949330	3.945368	5.829610	5.999298	5.408935	6.294081	2.466550	11.111582
10	2	6.595743	5.341219	18.280933	16.743350	4.184599	-9.104933	-2.718194	-6.284208	3.081609	-19.108955	6.003173	14.256969	12.073358	-1.025301	4.937262	-0.495142	7.398087	5.413080	7.544773	7.081040	7.123422	11.866892	9.231151	-6.524374	-19.186495	-10.139083	4.184599	1.856476	7.362507	7.995834	3.081609	3.602915	6.003173	-1.134898	-2.757122	8.564822	0.756434	4.812312	5.220758	0.856564	7.461835	-1.137707	2.502328	-7.611236
12	2	0.059295	12.529827	25.039082	12.424456	7.133485	-6.808055	-3.051981	-11.536243	8.689138	-28.803843	6.960214	15.124160	4.780222	-0.355467	6.720177	-1.172850	5.390977	7.192413	6.676419	5.257029	4.908960	10.423348	6.277913	-7.682478	-19.448897	-38.858142	7.133485	4.867657	6.399301	7.548636	8.689138	5.121547	6.960214	-13.893759	-15.875158	7.096450	0.103172	5.447856	-1.003697	3.954001	5.287696	-10.465122	-7.552203	-15.155751
13	2	6.208317	-10.971052	-26.718308	-32.306277	4.766027	6.674481	5.189567	6.987538	3.612391	16.135306	7.973730	-23.150297	-16.235597	6.790473	-0.575919	7.416710	-3.748867	1.260329	0.189828	-8.340286	-9.731011	-16.301166	-0.206310	9.729773	22.338078	18.990549	4.766027	-5.710020	-6.271371	-9.000769	3.612391	-21.865106	7.973730	7.347924	7.146523	-5.131408	5.827040	3.243395	7.178175	7.416001	6.624558	6.369730	7.078352	10.301505
14	2	2.524035	11.481250	13.174243	19.526915	5.006326	-13.795603	-3.367870	-7.406728	6.919325	-19.765778	7.209456	11.960793	4.241861	-4.322840	6.267344	4.401233	5.326436	7.900201	7.284026	7.657086	6.438175	9.527027	5.034364	-7.294980	-34.136958	-26.113877	5.006326	5.021939	7.308563	6.889324	6.919325	12.752381	7.209456	-17.649843	-11.698688	6.571846	0.109031	7.188978	-0.018485	2.605249	3.380930	-6.991391	-2.920761	-16.278388
