4	2	7.685635	-1.910105	6.095168	1.136890	7.084355	0.094762
5	2	6.226790	-0.172292	7.025593	1.768858	7.495504	2.566732
7	2	0.885775	9.744245	0.854478	7.111447	-1.366630	7.121267
8	2	7.916011	-2.782921	7.803748	1.665184	7.676153	1.259300
9	2	3.539211	0.251330	8.973660	3.529952	6.252457	4.182272
13	2	8.179204	2.072692	-1.446142	3.169886	6.442469	-1.457961
16	2	7.109180	-0.131032	7.401053	6.862334	5.091728	2.479502
17	2	2.224447	6.925268	1.921780	7.375312	1.210737	6.246726
18	2	7.219930	-0.790238	7.072337	1.024577	6.388034	4.255035
19	2	0.609624	3.408824	6.226350	7.121629	-2.122527	6.920828
20	2	9.043203	-2.207314	6.430992	2.478067	6.728072	2.650726
21	2	0.320222	6.426993	1.823517	5.634166	-1.495764	6.408627
23	2	8.549136	-5.236005	8.131697	2.815762	6.861735	1.865064
24	2	5.499817	0.149601	6.270311	1.080803	8.262939	3.923203
27	2	2.909106	6.002675	2.428703	8.753259	-6.160186	8.574471
30	2	5.638183	-2.174937	7.406614	0.226678	3.701134	1.598705
31	2	1.794874	8.657354	0.579212	8.038126	-0.631804	6.501036
34	2	8.551446	-1.115379	5.115629	3.240334	7.362436	3.080552
37	2	5.152731	-2.577410	6.192121	-1.021192	7.004607	1.948622
39	2	6.205025	-0.238047	6.282584	0.482447	7.844897	0.811656
46	2	6.151903	-3.386824	6.256169	1.458330	4.983778	0.003065
48	2	4.468281	4.427319	2.170382	4.824060	1.664369	6.123571
49	2	0.164417	7.398459	-0.390338	5.803633	1.083009	5.523692
53	2	1.203662	5.879968	-0.798190	7.211027	-0.222474	1.390700
55	2	-0.099640	6.895475	0.939241	6.541342	-4.069137	7.512305
58	2	0.396471	7.032136	-1.934908	6.417411	-0.586690	3.815792
59	2	6.164240	-3.753703	4.532848	1.459749	6.000579	0.492853
61	2	4.017949	6.310489	2.868229	9.491225	-0.956739	7.470534
64	2	7.260004	-3.343723	7.904164	2.966337	6.116944	1.416868
67	2	0.337672	5.334010	-0.090241	4.941638	-0.266917	5.122115
68	2	0.425843	5.390483	1.696661	4.183216	0.709441	6.784829
69	2	3.872140	4.531486	3.352997	5.629425	0.161632	5.228155
71	2	7.141888	-0.384417	6.455523	2.702590	8.202852	3.246808
72	2	7.087798	-1.091748	6.592793	0.585453	7.409009	0.453577
75	2	-1.157901	6.747340	0.575506	-1.054228	0.347956	5.941699
77	2	1.216704	1.607273	8.248780	0.261546	4.450977	3.712622
78	2	6.861149	-1.447642	6.686116	3.505974	5.647362	1.324499
81	2	-0.626191	6.681671	2.734498	4.856496	0.025296	7.314277
84	2	-0.122488	4.874900	4.079298	6.068078	-1.200565	5.110703
86	2	6.490087	-3.863968	4.468646	2.989713	5.359518	-1.191362
87	2	6.920162	-1.580901	9.560562	3.721748	6.846827	2.940539
88	2	5.850230	-3.119525	7.761702	2.454233	7.665663	2.424918
90	2	6.626339	-3.873272	5.762545	1.817037	6.100972	-0.156701
94	2	6.134943	0.136742	5.888476	0.229251	6.628784	-0.433541
95	2	2.872898	3.747111	3.607288	6.939605	-0.552333	4.482994
97	2	5.554161	-1.396327	8.938380	-0.796173	6.763050	3.024650
99	2	6.862091	1.455591	6.992397	1.074746	5.971151	0.971648
100	2	0.755184	5.938968	0.549662	6.672635	-2.907981	6.441469
